id,name,icon,description,active,created_at,updated_at,score,kind
3,0chain,"","",true,2025-07-23 09:42:42.076000 +00:00,2025-07-23 09:42:42.076000 +00:00,20,""
5,0g Labs,"","",true,2025-07-23 09:42:42.076000 +00:00,2025-07-23 09:42:42.076000 +00:00,21,""
6,0L Network,"","",true,2025-07-23 09:42:42.076000 +00:00,2025-07-23 09:42:42.076000 +00:00,7,""
14,0xFable,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
57,88mph,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
67,ABCDE Labs,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
96,Acuity Token,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
17,0xSpaceShard,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,10,""
18,0xSplits,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,4,""
25,1Hive,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,8,""
1,01coin,"","",true,2025-07-23 09:42:42.076000 +00:00,2025-07-23 09:42:42.076000 +00:00,4,""
9,0xBitcoin,"","",true,2025-07-23 09:42:42.076000 +00:00,2025-07-23 09:42:42.076000 +00:00,2,""
10,0xCapsules,"","",true,2025-07-23 09:42:42.076000 +00:00,2025-07-23 09:42:42.076000 +00:00,5,""
13,0xcert Protocol,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
15,0x_nodes,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
26,1inch,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,26,""
16,0xNoots,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,5,""
37,33 Labs,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
21,10K Swap,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
22,123swap,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
28,1Ramp,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
29,1sol,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
33,2gether,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
39,3Box,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,11,""
40,3cities,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
35,2key.network,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
36,2PI Ecosystem,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
41,3em,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,6,""
46,4New,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
45,4EVERLAND,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
49,5Blockers,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
51,5G Cash,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
58,8Pay,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
59,A3S Protocol,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
60,A51 Finance,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,4,""
62,Aavegotchi,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,4,""
76,AbstrLabs,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
78,Abyss,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
79,Abyss Token,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
65,Abacus Network,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,5,""
73,Abracadabra,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,6,""
75,Abstract Money,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,6,""
93,ACryptoS,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
95,Actinium,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
81,Accelar,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
98,ACY Finance,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,6,""
99,ACY Labs,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,6,""
100,Adabox,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,10,""
105,adbank,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
106,adChain,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
110,Adoria Soft,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
111,Adosia,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
83,Access Labs,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
119,Aeon,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
120,Aera Finance,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
90,ACoconut,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
94,Actifit,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
124,Aerx,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
2215,Ethereum Dev Tools,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,13,Infrastructure
2217,Ethereum Execution,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,141,""
2218,Ethereum Follow Protocol,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,4,""
2220,EthereumJS,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,8,""
140,Aidos Kuneen,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
2221,Ethereum L2s,"","",false,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,5571,""
2222,Ethereum Name Service,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,54,Infrastructure
2223,Ethereum OASIS Open Project,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,1,""
2225,Ethereum Protocol Fellowship,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,6,Community
2226,Ethereum Vault,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,94,Infrastructure
149,AIRBLOC Protocol,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
154,Air Protocol,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
155,Airpuff,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
2253,EthVM,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,1,""
158,Aisland DAO,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
2259,Euler Finance,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,18,""
2266,EVAA Protocol,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,4,""
2269,Eve Network,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,2,""
2270,Evercity,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,2,""
2277,Everipedia,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,13,""
2282,Everscale,"","",true,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,40,Public Chain
2285,EVM Compatible Application,"","",false,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,132,""
2286,EVM Compatible L1 and L2,"","",false,2025-07-23 09:52:39.086000 +00:00,2025-07-23 09:52:39.086000 +00:00,13188,""
112,Adshares,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
97,Acurast,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,5,""
121,AERGO,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,4,""
163,AKASHA,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
122,Aerodrome,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,4,""
126,Aevo,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,7,""
127,Affinidi,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,8,""
134,Agora Labs,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
135,Agoras Tokens,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
142,Aikin,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
144,AIN Blockchain,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,6,""
175,Alchemist,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
145,Aion,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
146,AIOZ Network,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,4,""
186,Alethio,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
147,Airalab,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,13,""
156,Airstack,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
191,Algobet Finance,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,8,""
192,AlgoDex,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,5,""
193,Algofi,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
194,Algogard,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,8,""
195,Algomint,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
187,ALEX,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,9,""
198,Algorand Labs,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,4,""
